"orf19"	"feature"	"common"	"description"	"plate"	"position"	"A_Temp1_UP"	"A_Temp1_DN"	"B_Temp1_UP"	"B_Temp1_DN"	"C_Temp1_UP"	"C_Temp1_DN"	"A_Temp2_UP"	"A_Temp2_DN"	"B_Temp2_UP"	"B_Temp2_DN"	"C_Temp2_UP"	"C_Temp2_DN"	"A_Temp1_DOX_UP"	"A_Temp1_DOX_DN"	"B_Temp1_DOX_UP"	"B_Temp1_DOX_DN"	"C_Temp1_DOX_UP"	"C_Temp1_DOX_DN"	"A_Temp2_DOX_UP"	"A_Temp2_DOX_DN"	"B_Temp2_DOX_UP"	"B_Temp2_DOX_DN"	"C_Temp2_DOX_UP"	"C_Temp2_DOX_DN"	"A_YNB1_UP"	"A_YNB1_DN"	"B_YNB1_UP"	"B_YNB1_DN"	"C_YNB1_UP"	"C_YNB1_DN"	"A_YNB1_DOX_UP"	"A_YNB1_DOX_DN"	"B_YNB1_DOX_UP"	"B_YNB1_DOX_DN"	"C_YNB1_DOX_UP"	"C_YNB1_DOX_DN"	"A_YNB2_UP"	"A_YNB2_DN"	"B_YNB2_UP"	"B_YNB2_DN"	"C_YNB2_UP"	"C_YNB2_DN"	"A_YNB2_DOX_UP"	"A_YNB2_DOX_DN"	"B_YNB2_DOX_UP"	"B_YNB2_DOX_DN"	"C_YNB2_DOX_UP"	"C_YNB2_DOX_DN"	"A_YNB3_UP"	"A_YNB3_DN"	"B_YNB3_UP"	"B_YNB3_DN"	"C_YNB3_UP"	"C_YNB3_DN"	"A_YNB3_DOX_UP"	"A_YNB3_DOX_DN"	"B_YNB3_DOX_UP"	"B_YNB3_DOX_DN"	"C_YNB3_DOX_UP"	"C_YNB3_DOX_DN"	"A_YNB4_UP"	"A_YNB4_DN"	"B_YNB4_UP"	"B_YNB4_DN"	"C_YNB4_UP"	"C_YNB4_DN"	"A_YNB4_DOX_UP"	"A_YNB4_DOX_DN"	"B_YNB4_DOX_UP"	"B_YNB4_DOX_DN"	"C_YNB4_DOX_UP"	"C_YNB4_DOX_DN"	"A_YNB5_UP"	"A_YNB5_DN"	"B_YNB5_UP"	"B_YNB5_DN"	"C_YNB5_UP"	"C_YNB5_DN"	"A_YNB5_DOX_UP"	"A_YNB5_DOX_DN"	"B_YNB5_DOX_UP"	"B_YNB5_DOX_DN"	"C_YNB5_DOX_UP"	"C_YNB5_DOX_DN"
"orf19.1220"	"C6_04040C_A"	"RVS167"	"SH3-domain- and BAR domain-containing protein involved in endocytosis; null mutant exhibits defects in hyphal growth, virulence, cell wall integrity, and actin patch localization; cosediments with phosphorylated Myo5p"	"Plate 13"	"C01"	884	332	1567	477	978	368	1450	907	1112	408	786	270	151	46	153	89	67	32	338	176	91	42	122	48	787	196	1175	200	1082	249	282	27	288	72	440	110	1000	239	1180	599	1092	407	255	40	368	103	276	134	872	343	1252	514	1343	583	318	191	180	96	319	181	874	267	835	224	882	364	303	40	264	91	196	83	1182	433	1481	600	2009	779	510	152	349	155	401	161
"orf19.1214"	"C6_04080W_A"	"MAP2"	"Ortholog(s) have metalloaminopeptidase activity, role in protein initiator methionine removal involved in protein maturation and cytoplasm, nucleus localization"	"GELCPlate 07"	"E01"	1410	1171	1589	985	985	717	564	549	378	352	622	439	1507	943	886	949	1100	1029	1046	889	930	675	580	514	886	399	1932	802	1525	754	1501	808	1794	746	1845	1081	1104	556	893	664	898	548	1300	688	887	480	1080	688	1196	865	1322	887	1181	1108	942	663	1131	760	1121	1083	1193	818	1528	905	890	614	1043	854	819	604	1493	1417	1729	1046	1149	726	2066	1320	1272	628	1980	1309	1686	1078
"orf19.4555"	"C6_04130C_A"	""	"GPI-anchored adhesin; role in adhesion, germ tube induction; growth, temperature regulated; expressed during infection of human buccal epithelial cells; repressed by vaginal contact; biofilm induced; repressed during chlamydospore formation"	"GELCPlate 04"	"A09"	0	1496	0	1222	0	1191	0	693	0	898	0	400	0	1723	0	2288	0	1690	0	1256	0	1186	0	1380	0	978	0	627	0	1018	0	1174	0	1851	0	2185	0	528	0	1114	0	934	0	1262	0	745	0	1103	0	1212	0	1329	0	1324	0	1684	0	1395	0	1903	0	1136	0	939	0	915	0	1214	0	1696	0	1712	0	1495	0	1796	0	1430	0	1423	0	1641	0	2418
"orf19.1078"	"C6_04220C_A"	"HBR2"	"Putative alanine glyoxylate aminotransferase; regulated by Gcn4p and hemoglobin; stationary phase enriched protein"	"Plate 25"	"A02"	1146	1042	1553	1539	1586	1481	702	936	947	1333	818	688	1227	994	1103	1516	1665	1637	1605	1663	795	858	1230	1367	888	627	1521	634	1301	818	1207	747	1872	1028	1635	1107	949	540	407	417	708	505	1369	968	966	552	1630	1441	1252	1067	757	582	801	852	1621	1535	841	724	1059	956	576	449	802	572	837	724	1030	808	1234	1209	1495	1482	1861	1584	919	854	1486	1309	1652	1031	1915	1482	1060	1054
"orf19.1080"	"C6_04230W_A"	""	"Ortholog of C. dubliniensis CD36 : Cd36_64900, C. parapsilosis CDC317 : CPAR2_600390, Pichia stipitis Pignal : PICST_30726 and Candida guilliermondii ATCC 6260 : PGUG_04023"	"GELCPlate 08"	"G01"	0	1402	0	817	0	817	0	1031	0	845	0	601	0	1746	0	2070	0	1541	0	1679	0	1217	0	1355	0	765	0	857	0	1102	0	871	0	1207	0	1607	0	788	0	918	0	652	0	1444	0	783	0	1034	0	625	0	1102	0	1221	0	1156	0	1844	0	1385	0	760	0	728	0	764	0	1390	0	1393	0	1392	0	1423	0	1324	0	1838	0	998	0	1329	0	1572
"orf19.1083"	"C6_04260C_A"	"JLP2"	"Putative protein of unknown function; macrophage-induced gene"	"GELCPlate 08"	"G02"	10	2472	18	1713	19	1363	4	1289	20	1371	12	994	6	1514	6	1782	5	2098	7	1055	13	1940	7	1881	11	1232	13	557	17	1197	30	1370	19	1437	31	2088	8	1029	13	1341	15	986	45	1307	15	1090	25	1262	20	1263	34	1217	8	1130	24	1096	47	1959	18	2038	6	970	18	851	10	1057	15	1596	24	1948	47	1965	20	1839	16	1040	16	1584	14	1119	28	1759	35	1985
"orf19.1084"	"C6_04270W_A"	"CDC39"	"Protein similar to S. cerevisiae Cdc39p, which is part of the CCR4-NOT transcription regulatory complex; transposon mutation affects filamentous growth"	"Plate 08"	"G07"	687	664	353	371	323	296	361	622	152	149	104	76	3	7	1	2	0	0	1	1	0	0	7	2	785	419	1217	562	626	371	12	4	2	3	1	4	809	494	575	637	678	480	0	0	1	5	5	7	1152	1034	1213	972	601	710	1	5	5	3	9	3	718	625	792	549	437	436	4	0	2	3	3	1	739	651	642	613	698	607	5	5	5	3	0	3
"orf19.1089"	"C6_04310W_A"	"PEX11"	"Putative peroxisomal membrane protein; role in fatty acid oxidation; expression is Tac1-regulated; Hms1p-dependent induction by geldamycin; Spider biofilm induced"	"Plate 08"	"F01"	0	1380	0	1476	0	1020	0	966	0	810	0	726	0	1186	0	3163	0	1576	0	1345	0	913	0	793	0	706	0	742	0	1082	0	1021	0	1337	0	1235	0	595	0	794	0	736	0	1380	0	792	0	1911	0	897	0	628	0	813	0	1227	0	1286	0	1011	0	744	0	690	0	785	0	1208	0	824	0	1122	0	1539	0	1227	0	1380	0	1197	0	1360	0	1315
"orf19.1093"	"C6_04350C_A"	"FLO8"	"Transcription factor; required for hyphal formation and CO2 induced white-opaque switching; regulates hyphal gene expression; required for virulence in mouse systemic infection; binds Efg1p; binds Mss11p via LisH motif; has LUFS domain"	"GELCPlate 05"	"E12"	1041	870	979	797	502	398	166	137	204	183	112	111	1768	1242	2353	2974	2201	2165	2220	1976	1610	1476	1560	1646	551	319	458	219	821	454	1138	653	2046	925	1317	897	458	235	583	475	362	273	1234	801	1336	803	1021	819	323	220	417	303	445	412	624	525	1059	763	1341	1245	368	293	584	386	342	204	577	500	676	553	1314	1238	476	284	263	210	483	412	1958	1291	2052	1608	2689	2113
"orf19.1096"	"C6_04370W_A"	""	"Has domain(s) with predicted voltage-gated chloride channel activity, role in chloride transport, transmembrane transport and membrane localization"	"GELCPlate 08"	"G03"	17	0	9	0	1442	0	138	0	15	0	100	0	101	0	111	0	81	0	164	0	134	0	40	0	507	0	120	0	183	0	375	0	621	0	235	0	100	0	76	0	96	0	265	0	402	0	179	0	531	0	110	0	79	0	205	0	200	0	212	0	112	0	296	0	73	0	194	0	315	0	195	0	210	0	284	0	473	0	480	0	497	0	543	0
"orf19.2124"	"C6_04410C_A"	""	"Predicted alcohol dehydrogenase; Spider biofilm induced"	"Plate 17"	"F10"	1569	0	2514	0	1224	0	951	0	511	1	1046	0	1468	0	1759	0	2038	3	769	0	1746	0	798	0	1844	1	1842	1	838	0	1785	0	2590	2	1696	0	1328	1	1086	0	1360	1	1242	0	1297	0	2319	1	1346	0	892	0	1124	0	1439	2	1223	0	1277	0	1017	1	1250	0	793	0	2019	0	1041	0	1611	0	2444	0	1336	0	1963	0	1526	0	1892	0	1877	0
"orf19.2129"	"C6_04440C_A"	"SPO71"	"Ortholog of S. cerevisiae Spo71; a meiosis-specific protein required for spore wall formation during sporulation in S. cerevisiae; possibly an essential gene, disruptants not obtained by UAU1 method"	"GELCPlate 08"	"E05"	705	0	531	0	1252	0	516	0	530	0	1818	0	1276	0	977	0	1607	0	833	0	702	0	636	0	1052	0	648	0	2324	0	1040	0	1270	0	1473	0	1140	0	645	0	716	0	964	0	1176	0	597	0	891	0	793	0	718	0	843	0	1394	0	727	0	658	0	1096	0	951	0	1213	0	617	0	997	0	892	0	668	0	995	0	1540	0	1310	0	1530	0
"orf19.2131"	"C6_04470C_A"	"TUL1"	"Ortholog(s) have ubiquitin protein ligase activity"	"Plate 16"	"C10"	2028	2934	2629	3168	1687	2089	805	1534	856	1529	1914	2469	1114	1585	1831	3956	1318	2104	2080	3570	1470	2319	1718	3105	1645	1512	1646	1113	1965	1929	2342	2473	2414	1961	2657	2783	1143	1068	1138	1592	1673	1729	2084	2322	2118	2160	2201	3116	1214	1567	1050	1360	1459	2227	2306	3155	2781	3771	1640	2790	939	1318	1138	1290	941	1350	1735	2606	1992	3029	1725	2535	1741	2304	1273	1663	1903	2730	1976	1919	2174	2522	1721	2440
"orf19.2133"	"C6_04490W_A"	""	"Secreted lipase, member of a differentially expressed lipase gene family with possible roles in nutrition and/or in creating an acidic microenvironment; expressed more strongly during mucosal infections than during systemic infections"	"Plate 06"	"G04"	1932	11	1537	11	1599	9	811	8	1068	8	1258	4	1436	8	1304	16	1274	12	1326	10	996	7	1221	1	1234	3	902	1	1046	3	1561	6	1375	2	1486	10	1314	3	1079	8	1811	9	1071	5	1049	5	1074	5	914	7	1023	1	920	9	1026	4	1074	7	1401	7	1395	5	1978	1	1982	18	999	4	1318	11	1275	5	1216	4	1151	5	1713	3	1820	6	1323	5	1653	11
"orf19.2137"	"C6_04510C_A"	""	"Has domain(s) with predicted ATP binding, ligase activity, forming carbon-nitrogen bonds activity and role in tRNA processing"	"Plate 12"	"D09"	1201	752	487	280	1477	933	368	348	609	473	616	481	1102	604	790	618	767	556	552	416	860	586	914	716	1226	596	973	312	803	365	773	367	998	438	1510	693	451	238	446	298	667	362	847	415	847	416	941	671	770	376	832	477	585	524	727	452	957	637	803	660	678	400	1080	562	805	480	875	547	732	411	1313	1069	1028	590	811	531	1146	765	1049	460	908	628	1060	785
"orf19.2146"	"C6_04540C_A"	"HAT2"	"Putative Hat1-Hat2 histone acetyltransferase complex subunit; role in DNA damage repair and morphogenesis; mutations cause constitutive pseudohyphal growth, caspofungin sensitivity; rat catheter and Spider biofilm repressed"	"Plate 16"	"C12"	1717	1212	1959	1605	2193	1646	1024	1226	1042	1121	928	643	1318	979	1603	1900	1244	1124	1345	1135	1412	1200	1490	1325	1854	1006	1183	482	2246	1171	2430	1252	2684	1225	2946	1683	1189	698	1273	1107	743	494	1284	746	1219	706	1134	963	1601	1040	1808	1275	770	732	1513	1296	1555	1134	2240	1705	1670	1341	1404	859	1005	674	1198	942	1513	1176	1611	1396	2093	1699	1231	930	1943	1538	1616	957	2200	1584	2162	2046
"orf19.2149"	"C6_04550C_A"	"YPR003C"	"Putative sulfate permease; S. cerevisiae ortholog YPR003C localizes to the endoplasmic reticulum; regulated by Sef1p-, Sfu1p-, and Hap43p"	"Plate 20"	"G07"	20	0	20	0	24	0	7	0	20	0	28	0	6	0	10	0	20	0	44	0	17	0	9	0	28	0	31	0	25	0	44	0	38	0	28	0	20	0	26	0	30	0	47	0	28	0	37	0	21	0	34	0	23	0	46	0	18	0	17	0	13	0	66	0	33	0	43	0	27	0	55	0	16	0	29	0	23	0	21	0	20	0	26	0
"orf19.2151"	"C6_04570W_A"	"SEY1"	"Protein required for wild-type mouse virulence and wild-type cycloheximide resistance; putative GTP-binding motif; similar to S. cerevisiae Yor165Wp; in gene cluster that encodes enzymes of GlcNAc catabolism; no human or murine homolog"	"Plate 19"	"C08"	1034	1792	1004	1234	743	1108	616	1352	691	1309	470	748	1714	2516	1279	3032	869	1466	1263	1988	753	1267	995	1966	850	922	927	643	653	697	1547	1447	1166	991	1311	1292	897	994	669	1026	621	863	791	1051	1060	1217	857	1450	1129	1435	1087	1637	903	1401	1170	1725	1249	1773	659	1114	722	1219	786	977	693	1137	888	1443	911	1294	793	1428	1330	1824	1584	2043	1010	1451	1059	1130	1246	1565	1257	1837
"orf19.2157"	"C6_04600W_A"	""	"N-acetylglucosamine-6-phosphate (GlcNAcP) deacetylase; N-acetylglucosamine utilization; required for wild-type hyphal growth and virulence in mouse systemic infection; gene and protein are GlcNAc-induced; Spider biofilm induced"	"Plate 22"	"C06"	1557	0	1216	0	1647	0	1070	0	1429	0	1093	0	1722	0	2032	0	2033	0	926	0	918	0	1242	0	1180	0	805	0	1021	0	1892	0	2151	0	1512	0	1074	0	683	0	1307	0	1834	0	1358	0	1451	0	899	0	885	0	1019	0	1480	0	1336	0	1838	0	1033	0	1002	0	825	0	1305	0	1236	0	1027	0	1756	0	713	0	1440	0	1102	0	2179	0	1578	0
"orf19.2158"	"C6_04610C_A"	""	"Putative MFS transporter; similar to Nag4; required for wild-type mouse virulence and cycloheximide resistance; in gene cluster that includes genes encoding enzymes of GlcNAc catabolism; Spider biofilm repressed"	"Plate 20"	"F03"	404	374	426	360	485	371	481	531	410	378	246	166	926	692	802	1072	1820	1652	586	400	742	525	708	559	1631	853	1899	782	750	429	1503	814	1842	875	2313	1275	875	477	255	218	815	533	1337	759	983	470	887	601	1398	893	941	710	546	529	904	616	932	669	1036	790	664	551	2523	1493	456	388	991	777	1155	982	1300	1142	1468	1098	1143	927	1079	763	1878	1129	1652	1154	1162	896
"orf19.2160"	"C6_04620C_A"	""	"Putative transporter; fungal-specific; similar to Nag3p and to S. cerevisiae Ypr156Cp and Ygr138Cp; required for wild-type mouse virulence and wild-type cycloheximide resistance; gene cluster encodes enzymes of GlcNAc catabolism"	"Plate 21"	"A03"	1520	1430	1348	1109	2313	1691	1064	1257	844	858	759	461	1332	1031	1362	1612	1100	1079	775	752	1080	912	892	835	1492	930	1654	736	1761	1002	1539	886	1506	844	2248	1515	1906	1133	993	835	1338	842	1432	871	1172	638	846	701	1108	850	1038	766	1796	1574	1604	1308	1170	965	1228	1109	1006	834	1013	728	1233	930	1435	1238	1047	1030	1665	1508	1741	1441	1094	1038	1639	1466	1444	962	1294	954	1268	1164
"orf19.7124"	"C7_00020C_A"	"RVS161"	"Protein required for endocytosis; contains a BAR domain, which is found in proteins involved in membrane curvature; null mutant exhibits defects in hyphal growth, virulence, cell wall integrity, and actin patch localization"	"Plate 04"	"G12"	1231	1953	846	1060	1260	1828	793	1697	786	1508	923	1437	889	1166	1063	2629	1223	2069	1087	1962	587	932	1151	1921	1053	848	1108	738	1519	1641	1521	1538	1457	1172	1515	1730	931	977	524	732	555	782	1391	1553	1119	1098	1193	1857	1270	1442	997	1149	599	1026	1668	2248	1015	1502	748	1287	724	965	1007	987	717	973	927	1256	1425	2080	1198	2050	1411	1595	1256	1299	1243	1576	1454	1631	1452	1808	1253	1577
"orf19.7115"	"C7_00080C_A"	"SAC7"	"Putative GTPase activating protein (GAP) for Rho1; repressed upon adherence to polystyrene; macrophage/pseudohyphal-repressed; transcript is upregulated in RHE model of oral candidiasis and in clinical oral candidiasis"	"Plate 23"	"D01"	1012	0	659	0	1564	0	455	0	802	0	966	0	1208	0	1301	0	826	0	899	0	388	0	589	0	1108	0	1113	0	669	0	1287	0	1183	0	1488	0	617	0	731	0	804	0	879	0	761	0	1191	0	599	0	1087	0	816	0	1177	0	949	0	884	0	577	0	788	0	731	0	1016	0	921	0	1343	0	1218	0	892	0	1053	0	1249	0	1585	0	1164	0
"orf19.7114"	"C7_00090C_A"	""	"Surface antigen on elongating hyphae and buds; strain variation in repeat number; ciclopirox, filament induced, alkaline induced by Rim101; Efg1-, Cph1, Hap43-regulated; required for WT RPMI biofilm formation; Bcr1-induced in a/a biofilms"	"GELCPlate 04"	"C01"	1868	0	1876	0	1341	0	786	0	1351	0	815	0	1816	0	1928	0	2210	0	1176	0	1154	0	1291	0	1216	0	1521	0	1145	0	1741	0	2518	0	2636	0	960	0	1598	0	454	0	2099	0	1416	0	1406	0	1234	0	1528	0	933	0	1516	0	1417	0	1275	0	1756	0	1397	0	1194	0	1354	0	1715	0	1781	0	1623	0	1759	0	2504	0	1619	0	2016	0	1786	0
"orf19.7112"	"C7_00100W_A"	""	"Putative ferric reductase; alkaline induced by Rim101; fluconazole-downregulated; upregulated in the presence of human neutrophils; possibly adherence-induced; regulated by Sef1, Sfu1, and Hap43"	"Plate 24"	"E07"	628	746	1076	1002	352	289	282	372	543	807	341	347	1366	1219	465	772	779	801	496	538	620	792	376	414	883	618	420	193	955	591	945	675	1285	857	1521	1028	566	396	495	482	684	552	929	710	1027	742	638	683	352	303	360	360	418	474	500	590	471	530	704	825	866	901	526	511	535	598	729	828	805	847	807	845	1180	996	766	672	767	722	549	394	950	922	991	1070
"orf19.7111"	"C7_00120W_A"	"FIS1"	"Putative mitochondrial outer membrane protein membrane fission effector; possibly an essential gene, disruptants not obtained by UAU1 method"	"Plate 19"	"H02"	6057	19595	5049	13425	8759	22714	2611	7806	5037	12149	3499	7345	7547	17659	5741	22923	7762	25305	9322	21712	4987	11707	5369	14234	5798	9986	5882	7565	5304	9198	9535	15106	9970	12360	8864	17310	5115	7810	6846	14073	5107	9832	7177	8804	8492	10342	7461	15557	9259	15434	5361	9249	8012	17830	9422	19311	11167	21235	7719	17785	5654	11483	5452	8345	5117	12161	5281	11718	8457	16886	11221	23348	6949	16776	7423	16616	8165	20839	6760	12993	10616	20173	8598	22230
"orf19.7109"	"C7_00140C_A"	"YGL242C"	"Ortholog of S. cerevisiae : YGL242C, C. glabrata CBS138 : CAGL0H07755g, C. dubliniensis CD36 : Cd36_70350, C. parapsilosis CDC317 : CPAR2_300160 and Candida tenuis NRRL Y-1498 : CANTEDRAFT_113872"	"GELCPlate 08"	"C04"	1174	1067	122	68	1304	1004	244	358	1000	1064	322	258	1694	1218	1477	1987	1164	1127	742	677	769	662	1004	1012	737	472	910	311	1029	618	1167	834	1347	674	1207	755	1278	784	871	695	501	340	1071	747	861	555	655	625	867	626	895	787	1036	1081	1102	1033	824	603	785	820	764	695	867	642	1384	1096	982	967	656	656	1135	959	1270	1074	1265	915	931	768	1861	1064	1372	1109	1180	1043
"orf19.7107"	"C7_00160C_A"	"ALB1"	"Ortholog(s) have role in ribosomal large subunit biogenesis and cytoplasm, nucleus, ribosome localization"	"Plate 22"	"D03"	812	701	1042	628	736	478	445	478	326	304	1254	876	913	625	560	614	800	752	1094	973	667	534	794	636	446	287	942	437	615	306	980	597	1105	622	1017	640	979	537	551	415	621	379	1011	595	1004	581	1002	734	1210	743	931	638	693	599	685	517	706	490	873	677	436	331	1336	782	805	699	908	724	743	611	1046	975	886	721	1115	853	881	663	1046	656	780	585	1029	820
"orf19.7105"	"C7_00180W_A"	"FAR1"	"Protein involved in regulation of pheromone-mediated mating; repressed by A1p and Alpha2p in white-phase cells; null mutant shows no pheromone response in opaque cells; overexpression causes enhanced pheromone response and cell cycle arrest"	"Plate 04"	"D01"	1210	0	1468	0	611	0	409	0	421	0	626	0	1225	0	705	0	955	0	1178	0	429	0	1187	0	937	0	1092	0	1178	0	1310	0	1666	0	1561	0	1020	0	619	0	464	0	737	0	1011	0	1099	0	829	0	985	0	681	0	630	0	1060	0	969	0	766	0	754	0	551	0	803	0	866	0	809	0	1197	0	793	0	1055	0	1514	0	1632	0	1069	0
"orf19.7096"	"C7_00260C_A"	"YLR001C"	"Ortholog(s) have fungal-type vacuole membrane, mitochondrion localization"	"Plate 08"	"H08"	2547	2868	1986	2312	2689	2401	1200	2351	1335	1755	1640	1486	1373	1283	1921	3158	3347	4191	1690	2017	1103	1252	1662	1901	2290	1771	1917	1171	1827	1407	2566	2116	2038	1332	1999	1880	1423	1156	1149	1419	1629	1338	2774	2358	1981	1333	1794	1791	1779	1637	1368	1274	1566	2089	1529	1549	1671	1612	1769	2021	1302	1272	1539	1291	986	933	1098	1371	1627	1780	1302	1667	1741	1918	1949	1917	2120	2172	1661	1322	2542	2347	2436	2663
"orf19.7095"	"C7_00270W_A"	"FEX1"	"Ortholog(s) have fluoride transmembrane transporter activity, role in cellular detoxification of fluoride, fluoride export across plasma membrane and plasma membrane localization"	"Plate 17"	"H07"	1236	0	1184	0	1669	0	599	0	741	0	832	0	2015	0	1747	0	1444	0	1119	0	1212	0	1462	0	1338	0	1571	0	1369	0	1949	0	2396	0	1457	0	1270	0	538	0	1243	0	1391	0	1246	0	1458	0	844	0	1200	0	972	0	1179	0	965	0	1169	0	1224	0	1370	0	773	0	1013	0	1067	0	1402	0	1238	0	1400	0	1938	0	1495	0	1398	0	1743	0
"orf19.7092"	"C7_00300W_A"	"COQ11"	"Putative NAD dependent epimerase/dehydratase family protein; Spider biofilm repressed"	"Plate 24"	"F08"	1193	751	1554	834	1262	723	198	173	674	523	911	530	869	522	833	734	462	306	331	242	416	259	751	633	719	293	1041	300	526	210	1005	434	1511	495	955	502	574	244	603	368	368	196	803	405	862	366	561	439	642	389	499	319	583	346	1110	698	558	377	879	680	646	306	546	214	632	411	391	261	788	518	1203	934	1148	697	600	279	552	332	824	377	870	492	706	523
"orf19.7091"	"C7_00310C_A"	""	"Protein of unknown function; induced by nitric oxide; Spider biofilm repressed"	"Plate 22"	"A02"	1985	2812	1987	2566	1735	2270	759	1680	1467	2261	1824	2020	2404	2855	1655	3139	2311	3937	1774	2763	1283	1835	2022	2824	1106	1021	1951	1406	1803	1514	2208	2206	2778	2111	2835	2822	2162	1967	1035	1451	1205	1266	1964	1795	1627	1481	1949	2513	1267	1468	1734	1795	1197	1797	1575	1966	1844	2182	1479	2295	1664	2069	1539	1460	1929	2088	1418	1916	1498	2004	2193	2958	1872	2380	1927	2360	1720	2146	2074	2111	2398	2708	1729	2481
"orf19.7088"	"C7_00330C_A"	"SUA5"	"Ortholog(s) have single-stranded telomeric DNA binding activity, role in regulation of translational fidelity, tRNA threonylcarbamoyladenosine modification, telomere maintenance and cytosol localization"	"Plate 24"	"C04"	819	874	622	678	1571	1454	621	764	895	1193	792	732	330	281	291	301	278	260	284	350	335	347	331	380	745	529	1665	722	915	636	308	206	400	187	273	224	609	374	589	528	853	700	302	227	170	124	291	243	851	771	571	514	754	894	225	201	256	216	370	415	825	737	952	778	404	480	322	364	252	233	347	412	1172	962	1178	977	1375	1167	201	156	282	298	255	213
"orf19.7086"	"C7_00340C_A"	"KAP114"	"Ortholog(s) have protein transporter activity, role in transcription factor import into nucleus and cytoplasm, nucleus localization"	"GELCPlate 08"	"C05"	990	1141	370	434	319	384	244	333	466	526	945	762	1378	1465	746	1268	674	802	591	557	895	869	1367	1287	791	644	777	429	782	584	1586	1229	1118	748	581	450	1002	598	519	651	633	425	1120	733	543	314	933	790	805	759	738	588	509	711	1153	980	802	706	1004	1066	635	560	368	269	566	484	500	524	1113	1188	1293	1309	1109	1208	602	550	829	860	955	608	1493	1283	1096	1123
"orf19.7083"	"C7_00370W_A"	"DCC1"	"Protein with a predicted role in sister chromatid cohesion and telomere length maintenance; cell-cycle regulated periodic mRNA expression"	"Plate 07"	"E06"	1547	1337	1502	1171	1874	1355	1053	1118	1194	1192	879	628	1271	847	1235	1422	1450	1272	1903	1647	843	767	757	774	2547	1294	1954	852	1569	766	1607	954	1548	666	1717	1059	1532	787	1433	1270	1224	744	1108	730	1175	593	1105	787	1367	913	1558	1067	1168	1071	1497	1284	1282	1008	1179	1195	1279	897	1552	984	987	657	1536	1288	1015	835	1504	1337	1920	1385	1765	1178	2146	1405	1238	714	1993	1261	1919	1412
"orf19.7080"	"C7_00400W_A"	"LEU2"	"Isopropyl malate dehydrogenase; leucine biosynthesis; induced by human whole blood or PMNs; protein level decreases in stationary phase; GlcNAc-induced protein; flow model biofilm repressed"	"GELCPlate 07"	"F11"	1033	1563	738	940	607	776	764	1202	580	917	494	588	1667	2163	1004	2275	970	1526	712	995	630	872	1220	1866	805	676	937	689	819	753	916	942	1099	774	878	928	594	481	501	638	598	574	929	790	514	460	912	1053	890	923	505	534	755	1089	761	848	923	1012	595	896	445	554	555	622	717	1047	696	1012	625	1042	799	1183	840	996	928	1118	847	1223	1228	1186	893	1014	918	1340
"orf19.7077"	"C7_00430W_A"	"FRE7"	"Putative ferric reductase; induced by Mac1 under copper starvation; Plc1-regulated; Rim101-repressed"	"Plate 25"	"B11"	1045	0	1851	0	1915	0	666	0	652	0	810	0	3105	0	1248	0	1936	0	1776	0	1211	0	1217	0	1546	0	1288	0	1140	0	1767	0	2170	0	2355	0	804	0	705	0	1131	0	1856	0	1430	0	1399	0	932	0	1211	0	833	0	1693	0	1239	0	1200	0	963	0	1109	0	1496	0	973	0	1246	0	1231	0	1332	0	1523	0	1861	0	1691	0	2291	0	1442	0
"orf19.7073"	"C7_00460W_A"	"YCL002C"	"Ortholog(s) have cytosol, nucleus localization"	"Plate 03"	"C08"	0	1170	0	1355	0	1890	0	1252	0	1587	0	1303	0	741	0	1361	0	1512	0	1792	0	1179	0	1723	0	776	0	556	0	731	0	1110	0	1239	0	1734	0	1039	0	1202	0	593	0	764	1	784	0	1151	0	850	0	1326	0	1230	0	1012	0	1139	0	1151	0	1015	0	803	0	498	0	828	0	732	0	673	0	1678	0	1465	0	1346	0	807	0	1388	0	1366
"orf19.7071"	"C7_00480W_A"	""	"Protein similar to phosphate transporters; transposon mutation affects filamentous growth; expression is regulated upon white-opaque switching"	"Plate 23"	"B02"	1009	1708	909	1336	1862	2426	282	577	480	996	505	651	895	1181	680	1519	716	1300	1271	2148	645	1079	671	1405	766	846	1363	1068	699	805	1126	1255	1246	1065	1104	1358	680	697	408	745	1030	1134	1154	1228	1080	1102	865	1011	1487	1797	1511	1831	538	1211	883	1228	789	1092	753	1418	832	1012	1038	1162	1015	1325	513	722	700	1204	1386	1989	903	1551	904	1319	1220	1688	978	1035	1076	1360	982	1488
"orf19.7069"	"C7_00490C_A"	"TAE1"	"Putative AdoMet-dependent proline methyltransferase; Hap43-induced; required for normal flow model biofilm growth; Spider biofilm repressed"	"Plate 04"	"D10"	2998	1843	1055	558	1639	974	640	501	278	218	1263	677	1580	877	1069	983	1634	1196	1657	1094	1699	1138	1136	827	903	398	1382	460	1263	558	1915	955	1353	540	2058	1003	805	389	640	519	1795	815	857	411	1044	408	1061	621	1087	570	862	478	882	541	1031	599	1379	729	927	667	1268	759	1113	568	694	466	965	653	770	555	1262	727	1333	948	1276	768	1515	994	1488	724	1852	1082	1921	1171
